,St70,St70,Ch130,Ch130,A280,A280,Pa654,Pa654,Vm1084,Vm1084,Vm1748,Vm1748
,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev,Coste,#Ev
Ejecución 1,2899.0,112000,38446.0,208000,29732.0,448000,1789857.0,1046400,7993816.0,1734400,14122987.0,2796800
Ejecución 2,2780.0,112000,38830.0,208000,29790.0,448000,1814094.0,1046400,7944549.0,1734400,14116575.0,2796800
Ejecución 3,2837.0,112000,39013.0,208000,29428.0,448000,1797975.0,1046400,7994081.0,1734400,14138041.0,2796800
Ejecución 4,2870.0,112000,38251.0,208000,29076.0,448000,1819499.0,1046400,7963697.0,1734400,14143659.0,2796800
Ejecución 5,2836.0,112000,38654.0,208000,29754.0,448000,1798806.0,1046400,7977197.0,1734400,14169420.0,2796800
Ejecución 6,2845.0,112000,39077.0,208000,29636.0,448000,1808572.0,1046400,7950698.0,1734400,14176894.0,2796800
Ejecución 7,2838.0,112000,39229.0,208000,30064.0,448000,1807236.0,1046400,7996856.0,1734400,14120624.0,2796800
Ejecución 8,2834.0,112000,38961.0,208000,29796.0,448000,1811747.0,1046400,7959511.0,1734400,14069521.0,2796800
Ejecución 9,2810.0,112000,38041.0,208000,29131.0,448000,1783474.0,1046400,8005380.0,1734400,14112588.0,2796800
Ejecución 10,2775.0,112000,38800.0,208000,28762.0,448000,1812432.0,1046400,7960300.0,1734400,14080484.0,2796800
Media,2832.4,112000.0,38730.2,208000.0,29516.9,448000.0,1804369.2,1046400.0,7974608.5,1734400.0,14125079.3,2796800.0
Des. Tip. (s),37.44388393909537,0.0,381.27761830747716,0.0,406.8246824151925,0.0,11488.417595319403,0.0,21663.223250733285,0.0,34143.68385400471,0.0
